ddd,Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average,L4,L8,StdDev
QB,Cam Newton,13.5,28.4,32.9,17.1,X,21.8,16.9,20,34.6,21,31.4,17.8,40.1,23,48.6,15.3,32.7,25.94,29.90,28.74,10.00
QB,Tom Brady,27.6,32.2,25.7,X,25.3,26.5,32.7,33.3,18.9,23.3,14.1,23.2,37.8,18,18.7,12.1,5.3,23.42,13.53,19.06,8.64
QB,Drew Brees,20.5,13.1,X,25.4,21.3,19.7,12.8,49.3,35.4,14.4,X,8.1,23.5,23.5,29.7,31.2,19.4,23.15,25.95,21.40,10.33
QB,Blake Bortles,11.9,21.6,17.4,19,32.2,28.9,14,X,26.4,17,12.6,26.5,35.8,27.7,25.3,34.2,6.6,22.32,23.45,23.21,8.64
QB,Ben Roethlisberger,22,33.7,6.7,X,X,X,X,11.5,25.4,31,X,27,36.9,10.9,27.9,5.8,28.8,22.30,18.35,24.04,10.81
QB,Russell Wilson,16.1,23,16.2,17.5,13.6,18.9,13.4,14.6,X,17.8,25.4,38.2,34.1,32.3,26.6,21.5,21.2,21.90,25.40,27.14,7.59
QB,Carson Palmer,28.7,22.2,22.5,20,18.3,21.7,19.2,33.6,X,26.3,29.6,17.4,25.2,23.7,15,17.6,8.2,21.83,16.13,20.38,6.19
QB,Andrew Luck,19.7,12.4,18.5,X,X,31,29,17.7,21.5,X,X,X,X,X,X,X,X,21.40,0.00,0.00,6.53
QB,Geno Smith,X,X,X,X,X,X,X,21,X,X,X,X,X,X,X,X,X,21.00,0.00,0.00,#DIV/0!
QB,Kirk Cousins,9.7,12.1,19.6,21.7,10.9,9.9,34.2,X,11.7,32,9.7,25.2,13.4,25.3,38.9,35.2,19,20.53,29.60,24.84,10.20
QB,Andy Dalton,18.9,21.6,35.3,21.4,31,21.5,X,11.6,21.9,10,26,20.7,23.9,1.4,X,X,X,20.40,1.40,16.40,8.82
QB,Eli Manning,8.5,21,19.2,19.3,32.7,10.8,6.4,41,14.4,25.4,X,20.8,15.1,31.3,25.2,10.4,22.1,20.23,22.25,21.47,9.46
QB,Philip Rivers,24.9,16.1,11.8,29.2,24.6,31.1,30.4,27,15.2,X,6.9,31.9,7.1,9.9,25.4,15.1,16.6,20.20,16.75,16.13,8.80
QB,Aaron Rodgers,23.1,22.3,37.9,16.3,18.5,19.6,X,6.2,37,25.1,19.1,14.4,26.6,19.4,11.1,10.9,14.8,20.14,14.05,17.68,8.65
QB,Tyrod Taylor,15.9,29,24.3,15.5,23.4,X,X,X,15.6,11.5,9.4,27.2,29.2,19,27.3,12.9,18.4,19.90,19.40,19.36,6.77
QB,Marcus Mariota,25,18.2,23.7,X,11.2,8.8,X,X,36.3,8.8,18.1,21.4,40.9,23.4,0.3,X,X,19.68,11.85,18.82,11.59
QB,Matthew Stafford,15.7,20.4,12.6,8.1,8.7,37.9,18.7,11.2,X,16.8,20.4,37.8,18,17.3,22.1,24.1,24.9,19.67,22.10,22.68,8.66
QB,Joe Flacco,2.7,25.6,24.5,9.6,24.6,22.7,15.1,26,X,26.3,14,X,X,X,X,X,X,19.11,0.00,20.15,8.27
QB,Derek Carr,3.2,30.3,23.5,13.8,11.9,X,23.9,32.1,30.3,22.3,7.6,27.7,16.3,13,21.2,16.2,12,19.08,15.60,17.04,8.64
QB,Ryan Fitzpatrick,14.1,17.4,17.6,15.1,X,26.2,21.7,3,18.9,16.7,17.8,29.2,28.8,24.8,16.3,24.1,13.4,19.07,19.65,21.39,6.65
QB,Josh McCown,3.3,X,23.6,26.2,38.5,14.7,10.9,20.2,X,X,X,13.7,X,X,X,X,X,18.89,0.00,13.70,10.78
QB,Jameis Winston,16.2,19.6,13.4,16.7,15.3,X,20.4,19.5,18.4,14.6,29.8,15.5,19.6,13.7,24,19.8,21.4,18.62,19.73,19.80,4.22
QB,Ryan Tannehill,12.7,27.1,18.8,14.3,X,18,27.6,12.9,16.6,16.5,15.8,27,8.5,15.8,15,18,26.7,18.21,18.88,17.91,5.85
QB,Blaine Gabbert,X,X,X,X,X,X,X,X,16.6,X,16.8,19.8,25.3,13.7,13.8,16.9,20.9,17.98,16.33,18.17,3.89
QB,Kellen Moore,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.3,29.4,17.85,17.85,17.85,16.33
QB,Alex Smith,23.2,7.1,19.9,20.9,13.3,16.3,14.5,27.6,X,15.5,13.4,21.7,24.8,14.6,12.5,17.4,18.3,17.56,15.70,17.28,5.25
QB,Matt Ryan,18.6,21.4,23.1,14.1,9.2,19.8,11.7,25.1,19.3,X,20.9,11.1,14.2,6.9,12.8,18.3,23.4,16.87,15.35,15.37,5.51
QB,Matt Schaub,X,X,X,X,X,X,X,X,X,X,X,16.3,17.3,X,X,X,X,16.80,0.00,16.80,0.71
QB,Jay Cutler,15.1,10.2,X,18.2,18.6,23.3,X,19.5,22.6,24.7,11.5,12.9,8.1,23.1,15.3,12.3,15.9,16.75,16.65,15.48,5.20
QB,Brian Hoyer,11.4,X,X,17.3,23.9,24.2,21.9,17.3,X,5.4,X,14.9,24.2,5.1,X,X,13,16.24,9.05,12.52,7.05
QB,Sam Bradford,18.4,10.9,8.5,24.2,22.6,12.4,7.8,X,15.7,13.4,X,X,12.7,13.2,22.8,21.6,22.6,16.20,20.05,17.72,5.72
QB,Brock Osweiler,X,X,X,X,X,X,X,X,X,10.6,18.4,14.2,9.7,16.3,30.7,16.5,10.3,15.84,18.45,15.84,6.83
QB,Colin Kaepernick,10.7,30.5,9.3,11.1,20.8,25.6,5,9.3,X,X,X,X,X,X,X,X,X,15.29,0.00,0.00,9.14
QB,EJ Manuel,X,X,X,X,X,21.7,20.7,X,X,X,X,X,X,X,0.6,X,X,14.33,0.60,0.60,11.90
QB,Teddy Bridgewater,9.8,18.2,3.7,16.1,X,11.5,22.7,12.6,14.5,11.9,20.1,5.7,3.9,19.7,32.9,11.9,3.2,13.65,16.93,13.66,7.96
QB,Peyton Manning,5.9,21.2,22.9,10.3,8.6,12.6,X,15.6,17.2,X,X,X,X,X,X,X,2.6,12.99,2.60,2.60,6.85
QB,Tony Romo,27.1,8,X,X,X,X,X,X,X,X,15.3,1.2,X,X,X,X,X,12.90,0.00,8.25,11.08
QB,Matt Hasselbeck,X,X,X,15.4,16.2,X,X,X,X,X,15.3,23.3,7.9,10.1,9,4,X,12.65,7.70,11.60,6.07
QB,Mark Sanchez,X,X,X,X,X,X,X,X,X,5.6,16.8,15.4,X,X,X,X,X,12.60,0.00,12.60,6.10
QB,Johnny Manziel,11.8,15,X,X,X,X,1.6,0.6,13.8,21.6,X,X,X,15.3,11.1,18.2,X,12.11,14.87,16.55,7.01
QB,Matt McGloin,11.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11.70,0.00,0.00,#DIV/0!
QB,Brandon Weeden,X,7.6,8.3,14.3,8.3,X,X,X,X,X,X,X,X,X,8.8,22.1,X,11.57,15.45,15.45,5.71
QB,Josh Freeman,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11.4,11.40,11.40,11.40,#DIV/0!
QB,Ryan Mallett,10.5,19.4,12,5,1,X,X,X,X,X,X,X,X,X,X,15,14.1,11.00,14.55,14.55,6.24
QB,Nick Foles,21,10.1,7.9,18.7,5.8,X,6.3,13.3,6.9,7,X,6.3,4.6,X,X,X,X,9.81,0.00,5.97,5.52
QB,A.J. McCarron,X,X,X,X,X,X,X,X,X,X,X,0.1,0.8,18,11.9,13.1,14.6,9.75,14.40,9.75,7.49
QB,Case Keenum,X,X,X,X,X,X,X,X,X,X,7.4,X,X,4.2,17.1,8.5,9.4,9.32,9.80,9.32,4.77
QB,Jimmy Clausen,X,3.3,3.8,X,X,X,X,X,X,X,X,X,X,9.8,20.2,X,X,9.28,15.00,15.00,7.86
QB,Matt Cassel,X,X,X,X,X,X,10.5,8.2,24.7,6.6,X,10.6,8.6,4.2,0.5,X,X,9.24,2.35,6.10,7.10
QB,Colt McCoy,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8.8,8.80,8.80,8.80,#DIV/0!
QB,Zach Mettenberger,X,X,X,X,X,2.9,9.5,4.8,X,X,X,X,X,X,16.2,11.4,6.9,8.62,11.50,11.50,4.82
QB,Austin Davis,X,X,X,X,X,X,X,X,X,X,X,7.8,7.6,X,X,X,8.8,8.07,8.80,8.07,0.64
